x,y,z
-1.000000000000000000e+02,-9.500000000000000000e+01,-1.200000000000000000e+02
-1.000000000000000000e+02,-9.500000000000000000e+01,0.000000000000000000e+00
-1.000000000000000000e+02,-9.500000000000000000e+01,1.200000000000000000e+02
1.524984999999999502e+01,-9.500000000000000000e+01,-1.200000000000000000e+02
1.524984999999999502e+01,-9.500000000000000000e+01,0.000000000000000000e+00
1.524984999999999502e+01,-9.500000000000000000e+01,1.200000000000000000e+02
1.304996999999999900e+02,-9.500000000000000000e+01,-1.200000000000000000e+02
1.304996999999999900e+02,-9.500000000000000000e+01,0.000000000000000000e+00
1.304996999999999900e+02,-9.500000000000000000e+01,1.200000000000000000e+02
-1.000000000000000000e+02,1.250000000000000000e+01,-1.200000000000000000e+02
-1.000000000000000000e+02,1.250000000000000000e+01,0.000000000000000000e+00
-1.000000000000000000e+02,1.250000000000000000e+01,1.200000000000000000e+02
1.524984999999999502e+01,1.250000000000000000e+01,-1.200000000000000000e+02
1.524984999999999502e+01,1.250000000000000000e+01,0.000000000000000000e+00
1.524984999999999502e+01,1.250000000000000000e+01,1.200000000000000000e+02
1.304996999999999900e+02,1.250000000000000000e+01,-1.200000000000000000e+02
1.304996999999999900e+02,1.250000000000000000e+01,0.000000000000000000e+00
1.304996999999999900e+02,1.250000000000000000e+01,1.200000000000000000e+02
-1.000000000000000000e+02,1.200000000000000000e+02,-1.200000000000000000e+02
-1.000000000000000000e+02,1.200000000000000000e+02,0.000000000000000000e+00
-1.000000000000000000e+02,1.200000000000000000e+02,1.200000000000000000e+02
1.524984999999999502e+01,1.200000000000000000e+02,-1.200000000000000000e+02
1.524984999999999502e+01,1.200000000000000000e+02,0.000000000000000000e+00
1.524984999999999502e+01,1.200000000000000000e+02,1.200000000000000000e+02
1.304996999999999900e+02,1.200000000000000000e+02,-1.200000000000000000e+02
1.304996999999999900e+02,1.200000000000000000e+02,0.000000000000000000e+00
1.304996999999999900e+02,1.200000000000000000e+02,1.200000000000000000e+02
