x,y,z
0.000000000000000000e+00,0.000000000000000000e+00,9.356406460551019677e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.356406460551019677e+01
-0.000000000000000000e+00,0.000000000000000000e+00,9.356406460551019677e+01
-0.000000000000000000e+00,0.000000000000000000e+00,9.356406460551019677e+01
-0.000000000000000000e+00,-0.000000000000000000e+00,9.356406460551019677e+01
-0.000000000000000000e+00,-0.000000000000000000e+00,9.356406460551019677e+01
0.000000000000000000e+00,-0.000000000000000000e+00,9.356406460551019677e+01
0.000000000000000000e+00,-0.000000000000000000e+00,9.356406460551019677e+01
4.059592619807553859e+01,0.000000000000000000e+00,8.429830936397532071e+01
2.531114598150988826e+01,3.173917316160412838e+01,8.429830936397532071e+01
-9.033443412417378582e+00,3.957810157137718221e+01,8.429830936397532071e+01
-3.657566566813027009e+01,1.761391225176145525e+01,8.429830936397532071e+01
-3.657566566813027720e+01,-1.761391225176144459e+01,8.429830936397532071e+01
-9.033443412417387464e+00,-3.957810157137718221e+01,8.429830936397532071e+01
2.531114598150988115e+01,-3.173917316160413193e+01,8.429830936397532071e+01
4.059592619807553859e+01,-9.943134215379077191e-15,8.429830936397532071e+01
7.315133133626055439e+01,0.000000000000000000e+00,5.833624010198730048e+01
4.560910908054766111e+01,5.719201382313863036e+01,5.833624010198730048e+01
-1.627770256909250080e+01,7.131727473298131770e+01,5.833624010198730048e+01
-6.590707217958542685e+01,3.173917316160413549e+01,5.833624010198730048e+01
-6.590707217958542685e+01,-3.173917316160412128e+01,5.833624010198730048e+01
-1.627770256909252211e+01,-7.131727473298131770e+01,5.833624010198730048e+01
4.560910908054764690e+01,-5.719201382313863746e+01,5.833624010198730048e+01
7.315133133626055439e+01,-1.791690875486379184e-14,5.833624010198730048e+01
9.121821816109532222e+01,0.000000000000000000e+00,2.081996304076707105e+01
5.687362876716805715e+01,7.131727473298131770e+01,2.081996304076707105e+01
-2.029796309903776574e+01,8.893118698474276584e+01,2.081996304076707105e+01
-8.218477474867793831e+01,3.957810157137719642e+01,2.081996304076707105e+01
-8.218477474867793831e+01,-3.957810157137717511e+01,2.081996304076707105e+01
-2.029796309903778706e+01,-8.893118698474276584e+01,2.081996304076707105e+01
5.687362876716803584e+01,-7.131727473298133191e+01,2.081996304076707105e+01
9.121821816109532222e+01,-2.234201977898207140e-14,2.081996304076707105e+01
9.121821816109532222e+01,0.000000000000000000e+00,-2.081996304076706394e+01
5.687362876716805715e+01,7.131727473298131770e+01,-2.081996304076706394e+01
-2.029796309903776574e+01,8.893118698474276584e+01,-2.081996304076706394e+01
-8.218477474867793831e+01,3.957810157137719642e+01,-2.081996304076706394e+01
-8.218477474867793831e+01,-3.957810157137717511e+01,-2.081996304076706394e+01
-2.029796309903778706e+01,-8.893118698474276584e+01,-2.081996304076706394e+01
5.687362876716803584e+01,-7.131727473298133191e+01,-2.081996304076706394e+01
9.121821816109532222e+01,-2.234201977898207140e-14,-2.081996304076706394e+01
7.315133133626056861e+01,0.000000000000000000e+00,-5.833624010198729337e+01
4.560910908054766821e+01,5.719201382313864457e+01,-5.833624010198729337e+01
-1.627770256909250435e+01,7.131727473298133191e+01,-5.833624010198729337e+01
-6.590707217958544106e+01,3.173917316160414259e+01,-5.833624010198729337e+01
-6.590707217958544106e+01,-3.173917316160412838e+01,-5.833624010198729337e+01
-1.627770256909252211e+01,-7.131727473298133191e+01,-5.833624010198729337e+01
4.560910908054765400e+01,-5.719201382313865167e+01,-5.833624010198729337e+01
7.315133133626056861e+01,-1.791690875486379499e-14,-5.833624010198729337e+01
4.059592619807555280e+01,0.000000000000000000e+00,-8.429830936397532071e+01
2.531114598150989892e+01,3.173917316160413904e+01,-8.429830936397532071e+01
-9.033443412417380358e+00,3.957810157137719642e+01,-8.429830936397532071e+01
-3.657566566813028430e+01,1.761391225176146236e+01,-8.429830936397532071e+01
-3.657566566813029141e+01,-1.761391225176145170e+01,-8.429830936397532071e+01
-9.033443412417391016e+00,-3.957810157137719642e+01,-8.429830936397532071e+01
2.531114598150988826e+01,-3.173917316160414259e+01,-8.429830936397532071e+01
4.059592619807555280e+01,-9.943134215379080347e-15,-8.429830936397532071e+01
1.145829322343542187e-14,0.000000000000000000e+00,-9.356406460551019677e+01
7.144128971519020873e-15,8.958454377431895918e-15,-9.356406460551019677e+01
-2.549710109624157625e-15,1.117100988949103412e-14,-9.356406460551019677e+01
-1.032356547361257182e-14,4.971567107689540173e-15,-9.356406460551019677e+01
-1.032356547361257339e-14,-4.971567107689537018e-15,-9.356406460551019677e+01
-2.549710109624160386e-15,-1.117100988949103412e-14,-9.356406460551019677e+01
7.144128971519017717e-15,-8.958454377431897495e-15,-9.356406460551019677e+01
1.145829322343542187e-14,-2.806472423954399403e-30,-9.356406460551019677e+01
